Anno/Mese,Costo Piattaforme (€ spesi),N° Contatti,Costo per Contatto (CPC),Valore del Contatto,"N° Contatti Ghost
(contattato = NO)","N° Contatti Ghost %
(contattato = NO)","N° Lead
(contattato = SI)","N° Lead %
(contattato = SI)",N° Vendite,Costo per Vendita (CPV),Fatturato,Valore Medio Vendita (AOV),"N° Offerte
(Prospect)","% Prospect
(svil. offerta = SI)",Contatti per 1 Vendita,Contatti per 1 Offerta,Offerte per 1 Vendita,Tasso di Conversione (V/C),Tasso di Conversione (O/C),Tasso di Conversione (O/L),Tasso di Conversione (V/O),Giorni Medi Vendita (TMV),Contatti Progressivi,Vendite Progressive,Contatti per 1 Vendita Progressivi,Tasso di Conversione Progressivo (V/C),Fatturato Progressivo,Valore Medio Vendita Progressivo (AOV),Costo Piattaforme Progressivo ,Costo per Contatto Progressivo (CPC),Costo Totale per Vendita Progressivo,"Rendimento
(Ricavi)",Rendimento Progressivo (Ricavi),"Rendimento
ROI (X)",Campagna Chiusa
2024/1,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,,,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/2,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/3,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/4,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/5,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/6,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/7,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/8,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,0,0,,,"€ 0,0",,"€ 0,00",,,"€ 0,0","€ 0,0",,Campagna Chiusa
2024/9,"€ 700,20",128,"€ 5,47","€ 258,28",47,"36,72%",81,"63,28%",3,"€ 233,40","€ 33.060,0","€ 11.020,0",26,"20,31%",43,5,9,"2,34%","20,3%","32,1%","11,5%",25,128,3,43,"2,34%","€ 33.060,0","€ 11.020,00","€ 700,20","€ 5,47","€ 233,4","€ 32.359,8","€ 32.359,8","46,22",Campagna Chiusa
2024/10,"€ 1.178,83",97,"€ 12,15","€ 478,97",12,"12,37%",85,"87,63%",6,"€ 196,47","€ 46.460,0","€ 7.743,3",17,"17,53%",16,6,3,"6,19%","17,5%","20,0%","35,3%",38,225,9,25,"4,00%","€ 79.520,0","€ 8.835,56","€ 1.879,03","€ 8,35","€ 208,8","€ 45.281,2","€ 77.641,0","38,41",Campagna Chiusa
